Batch,Frequency,Frequency Detla,|V| Sadie 1,Vphase Sadie 1,|V| Sadie 2,Vphase Sadie 2,|V| Tucker,Vphase Tucker,|V| Duke,Vphase Duke,|V| Adam,Vphase Adam,|V| Zeus,Vphase Zeus,|V| Murphy,Vphase Murphy,|I| Sadie 1 to Tucker,Iangle Sadie 1 to Tucker,|I| Sadie 1 to Duke,Iangle Sadie 1 to Duke,|I| Sadie 1 to Sadie 2,Iangle Sadie 1 to Sadie 2,|I| Sadie 2 to Tucker,Iangle Sadie 2 to Tucker,|I| Sadie 2 to Duke,Iangle Sadie 2 to Duke,|I| Duke to Adam,Iangle Duke to Adam,|I| Tucker to Adam,Iangle Tucker to Adam,|I| Zeus to Tucker,Iangle Zeus to Tucker,|I| Zeus to Murphy,Iangle Zeus to Murphy,|I| Murphy to Zeus,Iangle Murphy to Zeus,|I| Duke to Murphy,Iangle Duke to Murphy
755,60.006,-0.03,26673.8,0,26612.4,0.002,25169.4,-3.2707,25522.8,-2.203,25105.7,-3.2627,24233.1,-5.7883,24234.8,-5.6034,704.986,-5.3287,431.056,-1.2141,5.39153,-173.759,700.038,-4.3491,425.89,-0.8068,258.943,1.5689,15.963,-101.9249,31.1534,-142.608,490.77,-184.656,31.5406,37.7217,570.205,-184.611
756,60.006,-0.01,26676.1,0,26610.6,0.0066,25170.8,-3.2686,25524.5,-2.2015,25107.2,-3.2605,24234,-5.7848,24235.6,-5.5999,705.159,-5.3249,430.862,-1.1687,5.51289,-171.9417,699.796,-4.3305,425.89,-0.8375,258.569,1.5841,16.0826,-100.4889,31.5406,-142.3087,490.935,-184.6417,31.3636,38.3993,570.371,-184.6027
757,60.006,0.01,26676.4,0,26615,0.0022,25174.2,-3.2702,25528.2,-2.2038,25106.3,-3.2577,24234.8,-5.7945,24238.2,-5.5996,706.01,-5.3969,430.476,-1.0603,4.87129,-169.6486,699.554,-4.325,425.7,-0.8043,258.613,1.7517,16.3527,-97.6684,31.5406,-142.3526,491.101,-184.6396,31.3636,38.3554,570.537,-184.6066
758,60.006,0.01,26676.8,0,26615.4,0.0023,25177.5,-3.2719,25531.9,-2.2063,25109.7,-3.2594,24237.3,-5.7943,24240.8,-5.5994,706.861,-5.4689,430.857,-1.0025,4.87129,-169.6926,699.495,-4.285,425.511,-0.771,257.868,1.8005,16.7552,-98.2086,31.3636,-141.6886,491.267,-184.6376,31.3636,38.3114,570.704,-184.6116
759,60.006,0,26683.3,0,26615.7,-0.0017,25180.9,-3.2778,25531.5,-2.2084,25113.1,-3.2651,24239.9,-5.7982,24241.7,-5.6134,707.46,-5.4966,430.857,-1.0506,5.39153,-173.9257,699.255,-4.2837,425.13,-0.7931,258.077,1.8351,16.7552,-98.2567,30.9742,-142.0597,490.874,-184.6657,31.754,38.5784,570.477,-184.6027
760,60.006,0,26681.6,0,26620.2,0.0025,25180.1,-3.2665,25535.2,-2.2022,25114.6,-3.2675,24240.7,-5.7994,24238.4,-5.6105,707.381,-5.4489,431.239,-1.1113,5.68807,-173.364,699.437,-4.2844,425.323,-0.7771,258.449,1.7532,16.7552,-98.292,30.9742,-142.095,491.041,-184.655,31.1914,38.9443,571.038,-184.616
761,60.006,0.01,26686,0,26620.6,0.0072,25181.6,-3.2731,25534.8,-2.1956,25118,-3.2645,24243.3,-5.7945,24241,-5.6056,707.129,-5.4397,430.857,-1.1252,5.04161,-171.3063,699.619,-4.2892,425.897,-0.7911,258.449,1.7139,16.2126,-99.2553,31.3636,-141.8113,491.208,-184.6483,31.1914,38.905,571.038,-184.6553
762,60.006,0.01,26684.3,0,26622.9,0.0027,25183.1,-3.2756,25536.6,-2.1987,25115.3,-3.2626,24244.2,-5.7956,24241.9,-5.6068,706.878,-5.4265,430.667,-1.0843,4.87129,-169.8506,699.38,-4.275,426.278,-0.8524,258.449,1.6786,16.2126,-99.2906,31.5406,-142.5546,491.375,-184.6386,31.584,39.1776,570.645,-184.6736
763,60.006,0.02,26682.6,0,26621.2,0.0028,25184.6,-3.2781,25538.4,-2.2016,25116.8,-3.265,24245.1,-5.7967,24242.9,-5.6078,707.053,-5.4272,430.858,-1.0687,5.04161,-171.3768,698.959,-4.2953,425.897,-0.8616,258.449,1.6434,16.3527,-97.9056,31.5406,-142.5898,490.982,-184.6538,31.584,39.1424,570.812,-184.6688
764,60.006,0,26678.8,0,26617.4,0.0028,25180.1,-3.2771,25534.1,-2.2008,25112.3,-3.2639,24240,-5.7951,24237.9,-5.6062,707.053,-5.4538,430.858,-1.0953,5.51289,-172.2494,699.142,-4.2873,425.709,-0.8109,258.66,1.6992,16.2126,-99.3524,30.9742,-142.2314,490.982,-184.6804,31.584,39.1158,570.98,-184.6564
765,60.006,0,26676.8,0,26615.4,0.0028,25173.7,-3.2722,25527.8,-2.196,25110,-3.2634,24237.5,-5.7943,24235.3,-5.6054,706.628,-5.453,430.858,-1.1086,5.51289,-172.2627,699.325,-4.2661,425.329,-0.7981,258.66,1.6859,16.2126,-99.3657,30.9742,-142.2447,491.15,-184.6477,31.754,38.3934,570.755,-184.6137
766,60.006,-0.02,26677.1,0,26613.5,-0.0058,25173.3,-3.2709,25525.7,-2.2042,25109.7,-3.2619,24236.7,-5.7921,24237.1,-5.6173,706.803,-5.4404,430.858,-1.1305,5.39153,-174.1326,699.509,-4.2535,425.903,-0.7949,258.66,1.664,16.0826,-100.8318,31.1534,-142.9816,491.15,-184.6696,31.754,38.3715,570.531,-184.5786
767,60.006,-0.01,26679.4,0,26614,0.0076,25174.9,-3.2688,25527.5,-2.2027,25111.2,-3.2598,24237.6,-5.7887,24239.8,-5.6038,706.553,-5.4225,430.858,-1.1612,5.21513,-172.8613,699.272,-4.2347,426.098,-0.7744,258.449,1.5509,16.2126,-99.4183,31.1534,-143.0123,490.926,-184.6353,31.754,38.3408,570.531,-184.6093
768,60.006,0,26679.9,0,26614.5,0.0077,25178.3,-3.2706,25531.3,-2.2052,25114.7,-3.2615,24240.2,-5.7885,24242.5,-5.6037,706.904,-5.3977,431.05,-1.1545,5.00528,-168.0913,699.272,-4.2787,426.292,-0.7673,258.449,1.5069,16.2126,-99.4623,31.5406,-142.7263,491.094,-184.6333,31.3636,37.9817,570.868,-184.5753
769,60.006,0,26682.5,0,26619,-0.0055,25179.6,-3.2672,25531,-2.2118,25114,-3.2674,24242.9,-5.7969,24240.9,-5.608,707.08,-5.4159,431.243,-1.1564,5.17119,-169.6599,699.035,-4.2817,426.107,-0.7425,258.66,1.5367,16.2126,-99.5149,31.5406,-142.7789,491.263,-184.6399,31.3636,37.9291,571.038,-184.5879
770,60.006,0,26680.9,0,26619.5,0.0032,25181.1,-3.2697,25534.8,-2.2057,25117.5,-3.2604,24245.5,-5.7881,24241.9,-5.6092,707.08,-5.4512,431.243,-1.1917,5.3405,-171.1152,699.22,-4.2826,426.107,-0.7778,258.499,1.6305,16.2126,-99.5502,31.3636,-142.1062,491.263,-184.6752,31.754,38.2089,570.868,-184.6632
771,60.006,0,26681.4,0,26617.9,-0.0053,25182.7,-3.2809,25534.5,-2.2036,25116.9,-3.2576,24242.3,-5.7937,24240.5,-5.6048,706.832,-5.4465,431.054,-1.1593,4.87129,-170.1541,698.984,-4.2768,426.107,-0.8217,258.71,1.6688,16.2126,-99.5941,31.3636,-142.1501,491.04,-184.6541,31.754,38.165,570.476,-184.6901
772,60.006,0,26679.8,0,26622.4,-0.0012,25180.2,-3.2791,25536.4,-2.2067,25118.5,-3.2601,24243.2,-5.7949,24241.5,-5.606,706.761,-5.3987,430.673,-1.1689,4.54162,-166.8784,698.749,-4.2625,426.107,-0.857,258.71,1.6335,15.8079,-99.1398,31.3636,-142.1854,491.21,-184.6434,31.754,38.1297,570.253,-184.6684
773,60.006,0,26682.2,0,26620.8,0.0036,25181.8,-3.2769,25538.3,-2.2051,25118.1,-3.2673,24244.2,-5.7914,24242.5,-5.6025,707.185,-5.4436,430.867,-1.1488,4.87129,-170.22,698.934,-4.2587,425.923,-0.8103,258.339,1.6499,15.8079,-99.1704,31.3636,-142.216,491.38,-184.628,31.754,38.0991,570.593,-184.62
774,60.006,0.02,26686.8,0,26619.2,-0.0004,25179.2,-3.2791,25540.2,-2.2122,25115.6,-3.2694,24245.2,-5.7965,24243.5,-5.6076,707.609,-5.4973,431.061,-1.1375,5.39153,-174.4443,699.306,-4.2291,425.74,-0.7721,258.551,1.6928,16.3527,-98.2791,31.3636,-142.2553,491.38,-184.6673,31.754,38.0598,570.372,-184.6033
775,60.006,0,26685.2,0,26621.6,-0.005,25180.8,-3.2817,25537.9,-2.2108,25117.2,-3.2719,24244.4,-5.8077,24242.8,-5.6188,707.185,-5.5182,430.68,-1.147,5.39153,-174.4796,699.306,-4.2644,425.936,-0.7564,258.551,1.6575,16.3527,-98.3144,31.3636,-142.2906,491.55,-184.6576,31.754,38.0245,570.372,-184.6386
776,60.006,0,26685.5,0,26617.9,-0.0003,25180.5,-3.2804,25533.7,-2.2054,25112.8,-3.2662,24243.7,-5.8056,24243.8,-5.6067,707.116,-5.4572,430.874,-1.1184,5.39153,-174.5016,699.073,-4.2368,425.936,-0.7784,258.551,1.6355,15.8079,-99.267,31.3636,-142.3126,491.158,-184.6596,31.754,38.0025,570.542,-184.6216
777,60.006,-0.01,26679.6,0,26614.2,0.0085,25176.1,-3.2706,25533.6,-2.2003,25112.5,-3.2608,24238.7,-5.7952,24241.4,-5.6104,706.447,-5.412,430.874,-1.1363,5.51289,-172.6715,699.073,-4.2547,425.936,-0.7963,258.922,1.5706,15.6745,-100.7623,31.5406,-143.0385,490.937,-184.6115,31.754,37.9846,570.151,-184.6215
778,60.006,-0.02,26675.8,0,26614.5,0.0038,25171.7,-3.2697,25529.4,-2.1995,25108.1,-3.2597,24233.7,-5.7937,24236.4,-5.6088,706.023,-5.4242,431.069,-1.1124,5.51289,-172.6982,698.653,-4.2661,425.936,-0.823,258.551,1.5909,16.2126,-99.8012,31.3636,-142.3572,490.937,-184.6382,31.754,37.9579,570.714,-184.6262
779,60.006,0,26674.3,0,26612.9,0.0039,25173.3,-3.2722,25525.2,-2.2073,25109.7,-3.2622,24230.5,-5.7907,24233.3,-5.6058,706.38,-5.3909,431.069,-1.1477,5.3405,-171.4015,699.073,-4.3167,425.936,-0.8583,258.764,1.6377,16.2126,-99.8365,31.3636,-142.3925,490.937,-184.6735,31.584,38.6317,570.714,-184.6615
780,60.006,0,26674.9,0,26611.3,-0.0046,25172.8,-3.2696,25525,-2.2053,25107.2,-3.2688,24233.3,-5.7904,24230.1,-5.6114,706.136,-5.3859,430.689,-1.1657,5.17119,-170.0254,699.259,-4.3262,425.936,-0.9022,258.764,1.5938,15.8079,-99.3908,31.3636,-142.4364,490.717,-184.6514,31.584,38.5878,570.885,-184.6664
781,60.006,0,26675.5,0,26612,-0.0046,25170.3,-3.2764,25529,-2.2079,25106.7,-3.2661,24234.3,-5.8003,24233,-5.6113,705.649,-5.3322,431.069,-1.2356,5.3405,-171.4894,699.446,-4.3358,426.133,-0.8952,258.551,1.4677,15.2675,-100.4315,31.3636,-142.4804,490.889,-184.6504,31.584,38.5438,570.493,-184.6934
