Batch,Frequency,Frequency Detla,|V| Sadie 1,Vphase Sadie 1,|V| Sadie 2,Vphase Sadie 2,|V| Tucker,Vphase Tucker,|V| Duke,Vphase Duke,|V| Adam,Vphase Adam,|V| Zeus,Vphase Zeus,|V| Murphy,Vphase Murphy,|I| Sadie 1 to Tucker,Iangle Sadie 1 to Tucker,|I| Sadie 1 to Duke,Iangle Sadie 1 to Duke,|I| Sadie 1 to Sadie 2,Iangle Sadie 1 to Sadie 2,|I| Sadie 2 to Tucker,Iangle Sadie 2 to Tucker,|I| Sadie 2 to Duke,Iangle Sadie 2 to Duke,|I| Duke to Adam,Iangle Duke to Adam,|I| Tucker to Adam,Iangle Tucker to Adam,|I| Zeus to Tucker,Iangle Zeus to Tucker,|I| Zeus to Murphy,Iangle Zeus to Murphy,|I| Murphy to Zeus,Iangle Murphy to Zeus,|I| Duke to Murphy,Iangle Duke to Murphy
1,60.012,0,26697.5,0,26644.1,0.0088,25195.7,-3.2708,25539.8,-2.1968,25132,-3.2653,24256.7,-5.7841,24251.5,-5.6032,703.059,-5.1206,429.12,-0.7302,2.02658,177.1406,703.716,-4.6216,428.333,-1.1784,259.467,1.4707,15.4812,-102.4034,31.3636,-140.3034,491.205,175.3756,31.5406,40.4049,570.815,175.3906
2,60.013,0.02,26697.8,0,26641.2,-0.0031,25194,-3.2666,25535.8,-2.2065,25130.3,-3.2609,24251,-5.7912,24245.9,-5.6103,702.897,-5.1571,428.471,-0.7081,1.96948,182.9751,703.242,-4.5877,428.619,-1.1787,259.363,1.4907,15.4812,-102.4749,31.3636,-140.3749,491.459,175.3681,31.5406,40.3334,570.668,175.3601
3,60.013,0,26694.9,0,26637,0.0065,25191,-3.2734,25536.2,-2.201,25125.8,-3.2576,24247,-5.7963,24244.5,-5.6014,703.165,-5.1683,428.471,-0.7675,2.17851,184.1347,702.927,-4.5768,428.906,-1.1671,259.363,1.4313,15.4812,-102.5343,31.3636,-140.4343,491.312,175.3547,31.5406,40.274,570.922,175.3557
4,60.013,0,26692,0,26634.2,0.0067,25186.5,-3.2703,25532.2,-2.1985,25125.7,-3.251,24245.6,-5.7873,24239,-5.5963,703.111,-5.1094,428.352,-0.772,2.17851,184.0753,703.044,-4.553,428.784,-1.1718,259.26,1.4636,15.4812,-102.5937,31.5406,-139.7857,491.019,175.3893,32.1084,40.5864,570.776,175.3363
5,60.013,0,26686.7,0,26630.1,-0.0027,25185,-3.2731,25531.3,-2.2023,25121.3,-3.2668,24244.2,-5.7975,24237.7,-5.6064,702.79,-5.1178,428.643,-0.7798,1.96948,182.7778,703.044,-4.6315,428.784,-1.2503,259.158,1.4767,15.1052,-103.4332,31.3636,-140.5722,490.873,175.3578,32.1084,40.5079,571.031,175.3128
6,60.012,-0.02,26687.1,0,26629.3,0.007,25183.5,-3.2688,25530.4,-2.199,25122.7,-3.2492,24245.5,-5.7867,24243.4,-5.5917,702.741,-5.0709,428.701,-0.6709,1.2994,185.7733,703.752,-4.6424,428.951,-1.1961,259.056,1.497,15.4812,-102.7437,31.3636,-140.6437,491.129,175.3503,32.1084,40.4364,570.739,175.3223
7,60.012,0,26694,0,26640.6,0.0097,25193.6,-3.269,25535.6,-2.1942,25128.4,-3.2524,24249.5,-5.7861,24247.5,-5.5912,702.695,-5.0483,428.467,-0.6567,0.880778,181.1036,703.872,-4.6551,429.361,-1.2757,259.37,1.5154,15.4812,-102.8394,31.3636,-140.7394,491.241,175.3656,32.1084,40.3407,570.706,175.3616
8,60.012,0,26703,0,26649.6,0.0099,25200.9,-3.2709,25548.2,-2.195,25141.5,-3.2607,24260.5,-5.7891,24254.4,-5.5981,702.81,-5.0822,428.532,-0.5933,1.15038,173.2215,703.684,-4.6187,430.06,-1.306,259.27,1.49,15.1052,-103.7175,31.3636,-140.8565,491.355,175.3585,32.1084,40.2236,571.078,175.3945
9,60.013,0.01,26708.8,0,26655.5,0.0102,25208.3,-3.2608,25553.5,-2.1996,25144.6,-3.2536,24267.3,-5.784,24262.9,-5.6031,702.769,-5.0688,428.188,-0.5332,1.35105,176.4825,703.502,-4.5703,430.35,-1.3404,259.685,1.4071,15.1052,-103.8225,31.3636,-140.9615,491.471,175.3645,31.9289,39.4249,571.194,175.3845
10,60.013,0.02,26707.1,0,26654.9,0.0008,25205.6,-3.2657,25551.5,-2.2055,25141.9,-3.2583,24268.8,-5.7923,24263,-5.6013,702.888,-5.0761,427.962,-0.5134,1.35105,176.392,703.629,-4.5778,430.641,-1.3604,259.585,1.4083,15.1052,-103.913,31.3636,-141.052,491.731,175.337,31.9289,39.3344,570.909,175.375
11,60.013,0,26703.4,0,26646.7,-0.0015,25201.4,-3.272,25546.6,-2.2027,25137.8,-3.2644,24263.5,-5.7967,24257.7,-5.6056,702.576,-5.0746,427.962,-0.5823,1.2994,185.2961,703.91,-4.599,430.404,-1.3201,259.585,1.3394,15.1052,-103.9819,31.754,-141.4359,491.991,175.3321,32.1084,39.9592,570.625,175.3871
12,60.013,0,26700.8,0,26643,0.0081,25197.3,-3.2689,25542.9,-2.2003,25138,-3.2579,24258.1,-5.7916,24252.5,-5.6005,702.852,-5.0862,427.849,-0.5866,1.55518,178.7536,703.606,-4.5879,430.286,-1.3249,259.487,1.3717,15.4812,-103.2804,31.5406,-140.4724,491.708,175.3666,31.7224,40.2283,570.887,175.3826
13,60.013,0.01,26700.4,0,26643.8,-0.0012,25196.2,-3.2742,25542.4,-2.2066,25136.8,-3.263,24255.5,-5.7942,24249.9,-5.603,703.129,-5.1193,427.736,-0.6124,1.76156,180.5816,703.303,-4.5983,430.286,-1.4059,259.804,1.4041,15.1052,-104.1224,31.5406,-140.5534,491.426,175.3796,31.7224,40.1473,571.29,175.3156
14,60.013,0.01,26696.7,0,26644.6,0.0013,25195,-3.2676,25541.9,-2.2009,25131.4,-3.2594,24252.9,-5.7848,24249.1,-5.6037,702.665,-5.0827,427.513,-0.571,1.55518,178.6035,703.435,-4.5844,430.168,-1.4203,259.804,1.335,15.1052,-104.1915,31.5406,-140.6225,491.285,175.3575,32.1084,39.7496,571.008,175.3275
15,60.013,-0.01,26694.3,0,26637.7,-0.001,25191,-3.2644,25538.4,-2.1984,25127.4,-3.2561,24249.3,-5.7898,24248.2,-5.5948,702.79,-5.059,427.401,-0.5752,1.43301,167.924,703.719,-4.5963,430.051,-1.4251,259.707,1.3672,15.1052,-104.251,31.5406,-140.682,491.145,175.345,32.1084,39.6901,570.727,175.349
16,60.013,-0.02,26687.4,0,26629.7,0.0087,25188.4,-3.2687,25536.2,-2.2034,25124.8,-3.2603,24245.7,-5.7924,24244.7,-5.5974,702.483,-5.0455,427.291,-0.577,1.62688,171.2329,703.419,-4.5827,430.228,-1.3572,259.291,1.2887,15.1052,-104.3081,31.3636,-141.4471,490.865,175.3819,31.7224,39.9616,570.448,175.3729
17,60.012,-0.03,26691.6,0,26629.4,0.0064,25186,-3.2665,25534.5,-2.2023,25123.8,-3.2678,24247.5,-5.7937,24242.3,-5.6024,702.763,-5.0812,427.18,-0.6052,1.82517,173.7924,703.555,-4.5833,430.408,-1.3158,259.098,1.3892,15.2854,-102.2166,31.5406,-140.8226,491.13,175.3614,31.7224,39.8781,570.573,175.3844
18,60.012,0,26698.1,0,26640.3,0.0091,25191,-3.2695,25539.1,-2.197,25131.8,-3.2575,24250.5,-5.7923,24249.8,-5.5973,702.306,-5.0801,426.742,-0.4884,1.35105,175.8085,704.275,-4.6286,430.704,-1.3506,259.324,1.4894,15.2854,-102.3215,31.9289,-141.2495,491.661,175.3835,31.7224,39.7732,571.105,175.3885
19,60.012,0,26703.5,0,26650.2,0.0117,25199.1,-3.269,25548.1,-2.1985,25139.9,-3.2567,24256.4,-5.7866,24257.4,-5.6018,701.399,-4.9821,426.311,-0.3807,1.15038,172.3281,704.71,-4.731,431.231,-1.5044,259.647,1.4878,15.4812,-103.8499,32.1084,-140.6699,491.79,175.3791,31.7224,39.6588,571.096,175.4091
20,60.013,0.03,26705.7,0,26653.5,0.0024,25200,-3.2727,25548.5,-2.1937,25135,-3.2532,24255.3,-5.7864,24256.5,-5.6017,701.234,-4.9304,426.098,-0.3718,1.15038,172.2257,704.848,-4.7506,431.527,-1.5369,259.647,1.3854,15.1052,-104.7133,31.7224,-140.4433,491.516,175.3717,31.9088,40.2487,570.823,175.3887
21,60.013,0.02,26701.3,0,26648,0.0121,25197.8,-3.2656,25544,-2.2004,25134.2,-3.2559,24253.1,-5.7865,24248.5,-5.5951,701.519,-4.9613,426.512,-0.4361,1.15038,172.1471,704.841,-4.7112,431.185,-1.4514,259.554,1.3988,14.9045,-103.3519,31.7224,-140.5219,491.38,175.3401,31.9088,40.1701,571.091,175.3641
22,60.013,0,26698,0,26641.4,0.0003,25194.1,-3.2719,25540.7,-2.2075,25130.5,-3.2621,24254,-5.7974,24249.5,-5.606,701.954,-5.0183,426.925,-0.491,1.08925,182.569,704.401,-4.6741,431.072,-1.4658,259.554,1.3297,14.9045,-103.421,31.7224,-140.591,491.108,175.365,31.9088,40.101,570.955,175.336
23,60.013,-0.02,26695.9,0,26639.2,0.0005,25190.4,-3.2688,25537.5,-2.205,25126.8,-3.2588,24249.1,-5.7922,24244.7,-5.6008,701.805,-5.0424,426.82,-0.495,1.08925,182.5094,704.545,-4.651,430.66,-1.5404,259.462,1.3622,14.9045,-103.4806,31.7224,-140.6506,490.972,175.3534,32.2927,39.7064,570.82,175.3164
24,60.012,-0.03,26690.4,0,26637.2,0.0125,25188.1,-3.2637,25534.4,-2.1906,25124.5,-3.2535,24245.7,-5.7853,24245.7,-5.5903,701.509,-5.0191,427.023,-0.4175,1.08925,182.4617,703.819,-4.6396,430.547,-1.5333,259.279,1.4989,15.2854,-102.7933,31.5406,-141.3993,491.242,175.3687,32.1084,38.9728,570.954,175.3637
25,60.012,0.01,26687.3,0,26634,0.0126,25184.4,-3.2701,25531.2,-2.1977,25120.8,-3.2598,24245.2,-5.7861,24246.8,-5.6013,701.648,-5.0052,426.919,-0.4311,1.08925,182.3925,703.529,-4.6378,430.846,-1.5327,259.188,1.522,15.6687,-102.1635,31.1914,-142.8925,491.513,175.3625,31.5406,38.5318,570.551,175.4165
26,60.013,0.02,26688.6,0,26630.9,0.0104,25179.4,-3.2688,25526.9,-2.1973,25115.9,-3.2583,24244.7,-5.7892,24246.3,-5.6044,701.354,-5.0057,426.815,-0.447,1.15038,171.83,703.677,-4.6266,431.147,-1.5345,258.771,1.4305,15.6687,-102.235,31.1914,-142.964,491.379,175.338,31.3636,37.752,570.823,175.399
27,60.013,-0.01,26684.4,0,26632.2,0.0033,25178.9,-3.2717,25527,-2.2012,25115.3,-3.261,24242.7,-5.7893,24240.1,-5.608,701.497,-5.0013,426.608,-0.4144,1.15038,171.7513,704.406,-4.6464,431.448,-1.5436,259.098,1.4641,15.6687,-102.3137,31.1914,-143.0427,491.517,175.3693,31.5406,38.3816,570.556,175.4023
28,60.013,-0.01,26688.2,0,26636,0.0035,25185.9,-3.2728,25529,-2.1967,25122.3,-3.2618,24247.8,-5.7862,24245.4,-5.605,701.495,-4.9755,426.919,-0.4378,1.35105,175.0244,704.413,-4.6211,431.226,-1.5269,259.427,1.4833,15.6687,-102.4066,31.3636,-142.4196,491.657,175.3864,31.9289,37.9668,570.697,175.4044
29,60.013,0,26695.3,0,26642.1,0.0133,25190.3,-3.2658,25534.4,-2.1914,25131.1,-3.2516,24251.6,-5.7848,24249.3,-5.6036,701.786,-5.0328,426.919,-0.5425,1.35105,174.9197,703.845,-4.5837,431.006,-1.5218,259.339,1.4709,15.6687,-102.5113,31.3636,-142.5243,491.525,175.3297,31.5406,38.184,570.432,175.3807
30,60.013,0,26702.6,0,26645,0.0113,25200.5,-3.2657,25545.4,-2.1932,25136.9,-3.2543,24259.7,-5.7797,24257.6,-5.5986,702.513,-5.0782,427.232,-0.5777,1.55518,177.3051,703.422,-4.5815,430.678,-1.4616,259.251,1.4587,15.6687,-102.6159,31.5406,-141.9209,491.13,175.3671,31.7224,38.7798,571.114,175.3441
31,60.013,0.01,26702.1,0,26645.5,0.0018,25198.9,-3.2706,25548.9,-2.1965,25139.7,-3.2559,24262.3,-5.7882,24258.8,-5.5968,702.805,-5.1215,427.444,-0.5434,1.51052,185.0295,703.579,-4.5894,430.462,-1.4422,259.583,1.4797,15.2854,-103.4055,31.7224,-141.3105,491.275,175.3865,31.9088,39.3815,571.258,175.3475
32,60.013,0.01,26699.3,0,26642.7,0.002,25198.6,-3.264,25544.9,-2.1936,25135.1,-3.2521,24256.3,-5.7823,24258.7,-5.5977,702.374,-5.084,427.343,-0.5569,1.51052,184.9603,703.877,-4.6116,430.768,-1.4421,259.583,1.4105,15.2854,-103.4747,31.7224,-141.3797,491.552,175.3793,31.9088,39.3123,570.998,175.3603
33,60.013,0,26693.1,0,26639.9,0.0139,25195.3,-3.2585,25543.3,-2.1988,25133,-3.2565,24253.2,-5.7851,24249.9,-5.5936,701.945,-5.0345,427.242,-0.5587,1.2994,183.5709,703.598,-4.5978,430.661,-1.4445,259.497,1.4455,15.2854,-103.5321,31.5406,-142.1381,491.422,175.3699,31.7224,38.5626,570.868,175.3439
34,60.013,0,26686.9,0,26633.8,0.0141,25188.9,-3.266,25536.1,-2.1967,25125.3,-3.2538,24250.2,-5.7878,24246.9,-5.5963,702.098,-5.0091,427.142,-0.5604,1.35105,174.5405,703.32,-4.5839,430.555,-1.4468,259.078,1.3691,15.2854,-103.5895,31.5406,-142.1955,491.293,175.3595,31.7224,38.5052,571.016,175.3815
35,60.013,-0.01,26684.2,0,26632.1,0.0046,25185.6,-3.2724,25533.3,-2.2039,25122.1,-3.26,24245.7,-5.7922,24244,-5.6109,702.393,-5.0312,426.943,-0.5182,1.55518,176.9612,703.044,-4.5818,430.968,-1.502,259.411,1.4112,15.2854,-103.6588,31.5406,-142.2648,491.035,175.3852,31.7224,38.4359,571.166,175.4062
36,60.013,0,26686,0,26629.4,0.0026,25181.1,-3.2708,25533.8,-2.2005,25123.2,-3.2655,24245.6,-5.7951,24246.9,-5.6001,702.111,-5.0312,427.259,-0.5205,1.55518,176.8898,702.631,-4.546,430.862,-1.5184,259.411,1.3398,15.2854,-103.7302,31.5406,-142.3362,491.314,175.3768,31.7224,38.3645,570.909,175.4168
37,60.013,0.01,26686.8,0,26630.2,0.0027,25185.4,-3.2732,25533.2,-2.1969,25121.9,-3.2605,24248.4,-5.7941,24245.4,-5.6026,702.267,-5.0295,427.161,-0.5459,1.76156,178.7177,702.659,-4.5087,430.757,-1.5444,259.326,1.3512,15.2854,-103.8113,31.5406,-142.4173,491.186,175.3427,31.7224,38.2834,570.781,175.3767
38,60.013,-0.01,26687.7,0,26634.6,0.0147,25188.5,-3.2655,25537,-2.1906,25125,-3.2526,24249.8,-5.7828,24247,-5.5912,702.424,-5.0277,426.965,-0.5153,1.82517,172.1167,702.961,-4.5429,431.065,-1.5564,259.661,1.3813,15.0992,-102.4423,31.5406,-142.4983,491.466,175.3247,31.7224,38.2024,570.935,175.3907
39,60.013,0,26692.1,0,26639,0.0149,25190.5,-3.2596,25535.3,-2.1887,25127,-3.2464,24246.9,-5.7865,24248.6,-5.5916,702.007,-5.0133,426.674,-0.4404,1.72226,162.835,703.4,-4.6245,431.48,-1.6351,259.578,1.381,15.2854,-103.985,31.5406,-142.591,491.212,175.327,31.9088,38.802,570.808,175.339
40,60.013,0,26695.6,0,26639,0.0034,25192.5,-3.2632,25539.3,-2.2037,25130.2,-3.2598,24251.3,-5.7828,24250.2,-5.6015,702.167,-5.0328,426.899,-0.4181,1.62688,169.2787,703.568,-4.6443,431.271,-1.6274,259.413,1.4639,15.2854,-104.0873,31.7224,-141.9923,491.367,175.3347,31.9088,38.6997,570.964,175.3307
41,60.013,0.01,26695.6,0,26639,0.0035,25191.4,-3.268,25542.2,-2.1971,25129.1,-3.2644,24254.3,-5.7914,24251.9,-5.5998,702.33,-5.0407,427.221,-0.44,1.35105,173.9521,703.603,-4.6166,431.375,-1.539,259.332,1.4659,15.0992,-102.7279,31.7224,-142.0829,491.525,175.3541,31.9088,38.6091,570.712,175.3221
42,60.013,0.01,26696.8,0,26640.2,0.0037,25191.6,-3.2732,25543,-2.2033,25132.5,-3.2566,24253.1,-5.7937,24256.5,-5.6091,702.357,-5.0032,427.032,-0.4092,1.55518,176.3611,703.641,-4.5794,431.687,-1.5514,259.251,1.4776,15.4871,-102.1379,31.5406,-142.8649,491.275,175.3681,31.7224,37.8358,570.871,175.3361
43,60.013,0.01,26694.4,0,26637.8,0.0038,25187.4,-3.2695,25539.4,-2.2005,25128.3,-3.2527,24253.3,-5.7946,24251.1,-5.603,701.374,-4.9404,426.751,-0.3107,1.72226,162.4918,703.507,-4.6129,431.789,-1.6757,259.171,1.5011,15.4871,-102.2072,31.5406,-142.9342,491.436,175.4088,31.7224,37.7665,570.907,175.4018
44,60.013,0,26692.1,0,26635.5,0.004,25183.2,-3.2657,25535.9,-2.1976,25125.4,-3.2588,24247.7,-5.7886,24251.4,-5.604,701.103,-4.938,426.567,-0.2679,1.72226,162.4225,703.507,-4.6822,431.789,-1.745,259.092,1.5246,15.4871,-102.2765,31.3636,-143.7115,491.312,175.3875,31.5406,36.9968,570.66,175.4145
45,60.013,0,26690.8,0,26633.3,0.0137,25184.8,-3.2597,25533.5,-2.195,25122.5,-3.2554,24249.4,-5.7902,24251.7,-5.5953,701.542,-4.9867,427.076,-0.3713,1.62688,168.9088,703.417,-4.5879,431.068,-1.653,259.092,1.4649,15.4871,-102.3362,31.5406,-143.0632,491.598,175.3898,31.5406,36.9371,570.537,175.3958
46,60.013,0,26687.6,0,26631,0.0043,25186.3,-3.2728,25534.5,-2.1992,25122.9,-3.2583,24248.3,-5.7904,24250.7,-5.5955,701.981,-5.0545,427.168,-0.5061,1.55518,176.0839,703.022,-4.5592,431.18,-1.553,259.434,1.4962,15.4871,-102.4151,31.5406,-143.1421,491.475,175.3579,31.7224,37.5586,570.823,175.3709
47,60.013,-0.01,26689.9,0,26632.4,0.0141,25186.7,-3.2684,25535.5,-2.1958,25123.3,-3.2537,24247.2,-5.7831,24251.2,-5.5985,702.285,-5.0791,426.984,-0.4656,1.55518,176.0125,703.201,-4.5482,431.495,-1.5559,259.356,1.5176,15.4871,-102.4865,31.5406,-143.2135,491.231,175.3825,31.7224,37.4872,570.989,175.3935
48,60.013,-0.01,26690.4,0,26633.8,0.0046,25186,-3.2731,25535.5,-2.2017,25128.2,-3.2655,24250.5,-5.7917,24248.9,-5.6,702.017,-5.098,427.401,-0.5439,1.35105,173.4319,702.811,-4.5311,431.297,-1.5361,259.356,1.427,15.4871,-102.5771,31.5406,-143.3041,491.519,175.3539,31.9088,38.0889,570.867,175.3439
49,60.013,0,26690.9,0,26634.3,0.0048,25189.7,-3.2752,25534.4,-2.1977,25126.3,-3.26,24252.5,-5.79,24252.4,-5.6087,702.628,-5.0951,427.818,-0.6222,1.2994,182.3143,702.864,-4.5034,431.099,-1.5162,259.279,1.4292,15.4871,-102.6677,31.5406,-143.3947,491.398,175.3113,31.9088,37.9983,570.625,175.3363
50,60.013,-0.01,26692.4,0,26631.4,0.0029,25189.1,-3.2703,25534.5,-2.194,25126.9,-3.265,24251.6,-5.7923,24254.6,-5.5974,702.935,-5.1294,427.727,-0.6473,1.2994,182.2333,702.607,-4.5125,430.904,-1.4867,259.202,1.4411,15.4871,-102.7487,31.5406,-143.4757,491.566,175.3393,31.9088,37.9173,570.793,175.3493
51,60.013,-0.02,26685.9,0,26628.4,0.0148,25185.2,-3.2645,25532.3,-2.199,25123,-3.259,24250.7,-5.7809,24250.8,-5.5996,702.537,-5.0892,427.545,-0.6027,1.2994,182.166,702.92,-4.5334,430.71,-1.4433,259.127,1.4668,15.4871,-102.816,31.5406,-143.543,491.326,175.368,31.9088,37.85,570.553,175.364
52,60.012,-0.02,26684,0,26626.5,0.0149,25185.9,-3.2581,25529.1,-2.1961,25123.7,-3.2524,24246.9,-5.7851,24247,-5.6038,702.273,-5.0868,427.365,-0.5602,1.51052,183.4286,703.233,-4.5564,430.934,-1.3892,259.052,1.4904,15.4871,-102.8854,31.5406,-143.6124,491.207,175.3466,31.3374,37.425,570.725,175.3896
53,60.013,0.02,26685.6,0,26629.1,0.0054,25186.6,-3.2633,25530.4,-2.2023,25124.3,-3.2575,24251.9,-5.7945,24250.7,-5.6029,702.32,-5.0494,427.604,-0.5172,1.51052,183.3476,702.979,-4.5655,430.838,-1.4148,258.977,1.50247,15.4871,-102.9664,31.5406,-143.6934,490.969,175.3606,31.3374,37.344,570.898,175.4026
54,60.013,0.02,26690.9,0,26634.4,0.0056,25190.5,-3.2673,25535.1,-2.2077,25128.3,-3.2612,24254.1,-5.7947,24253.1,-5.6031,702.37,-5.0235,427.515,-0.5537,1.76156,177.3491,703.167,-4.5757,431.254,-1.4946,259.324,1.51929,15.877,-102.4209,31.1534,-143.4559,491.261,175.3301,31.9088,37.6071,570.662,175.3921
55,60.013,0.03,26691.8,0,26635.3,0.0058,25190.2,-3.2721,25538.8,-2.2012,25132.4,-3.2632,24256.5,-5.7931,24256.9,-5.6119,701.982,-5.0062,427.427,-0.5883,1.76156,177.2585,703.483,-4.6201,431.576,-1.5173,259.745,1.44484,15.4871,-103.1495,31.1534,-143.5465,491.436,175.3495,31.9088,37.5165,570.838,175.3965
56,60.014,0.02,26693.7,0,26637.1,0.006,25189.8,-3.2671,25539.2,-2.1975,25127.6,-3.2606,24255.8,-5.7953,24255.1,-5.6037,702.166,-5.0046,427.252,-0.557,1.76156,177.1776,703.548,-4.5828,431.065,-1.5554,259.252,1.44082,15.4871,-103.2304,31.1534,-143.6274,491.319,175.3166,31.5261,37.7787,571.132,175.3686
57,60.014,-0.01,26691.9,0,26635.4,0.0061,25191.9,-3.2708,25537.3,-2.2045,25128.5,-3.254,24255.2,-5.786,24254.6,-5.5944,701.91,-5.002,427.079,-0.5142,1.72226,184.0192,703.423,-4.6162,430.971,-1.5694,259.179,1.4645,15.4871,-103.2998,31.3374,-142.9898,491.496,175.3562,31.3374,37.0106,571.311,175.3932
58,60.013,-0.02,26690.2,0,26633.7,0.0063,25188.3,-3.267,25534.4,-2.2016,25126.1,-3.2602,24251.6,-5.7902,24251.1,-5.5985,701.782,-5.0354,426.993,-0.5275,1.76156,177.0388,703.617,-4.6035,431.2,-1.5156,259.108,1.48823,15.4871,-103.3692,31.9088,-142.7032,491.265,175.3828,31.5261,37.6399,571.195,175.3648
59,60.013,-0.02,26687.7,0,26635.7,0.0084,25189.3,-3.2703,25534.9,-2.1959,25126,-3.2531,24251.1,-5.7905,24250.7,-5.5988,701.528,-5.0423,426.822,-0.4941,1.76156,176.9598,703.369,-4.6104,431.524,-1.5269,259.108,1.40923,15.4871,-103.4482,31.7224,-143.4742,491.561,175.3648,31.9088,37.2178,570.964,175.3688
60,60.013,0.01,26693.4,0,26636.8,0.0066,25193.6,-3.2743,25540,-2.2014,25130.3,-3.257,24253.7,-5.7908,24254.7,-5.6095,701.59,-5.0163,426.737,-0.5304,1.55518,174.9583,703.442,-4.5848,431.849,-1.5517,259.459,1.42547,15.4871,-103.5407,31.3374,-143.2307,491.857,175.3343,31.5261,37.4684,571.146,175.3703
61,60.014,0.03,26690.1,0,26638.1,0.0087,25192.4,-3.2671,25540.6,-2.2054,25130.2,-3.2596,24256.4,-5.7873,24257.5,-5.6061,701.781,-5.0226,427.071,-0.5515,1.35105,172.3796,703.64,-4.5914,431.248,-1.5418,259.389,1.42985,15.3152,-102.1744,31.1534,-144.0264,491.629,175.3416,31.5261,37.3797,571.33,175.3756
62,60.014,0,26688.6,0,26636.6,0.0088,25193.5,-3.2607,25541.3,-2.1902,25131.4,-3.2531,24257.3,-5.7883,24257.3,-5.5967,701.972,-5.0097,427.322,-0.4973,1.08925,179.4352,703.84,-4.5788,431.157,-1.5558,259.319,1.45359,15.3152,-102.2438,31.3374,-143.3888,491.401,175.3682,31.5261,37.3103,571.103,175.3882
63,60.013,-0.01,26687.2,0,26635.1,0.009,25191.3,-3.267,25535.2,-2.1995,25129.2,-3.2592,24253.9,-5.7925,24253.9,-5.6008,701.724,-5.0069,427.239,-0.5105,1.08925,179.3658,703.597,-4.576,431.066,-1.5697,259.251,1.47737,15.3152,-102.3132,31.3374,-143.4582,491.288,175.3468,31.5261,37.2409,570.877,175.4018
64,60.013,-0.02,26685.8,0,26633.7,0.0091,25192.5,-3.2607,25537,-2.1942,25125.9,-3.2552,24253.6,-5.7831,24253.8,-5.5915,701.476,-5.0041,427.494,-0.4565,0.880778,176.5704,703.799,-4.5635,431.394,-1.5716,259.251,1.40797,15.3152,-102.3826,31.3374,-143.5276,491.475,175.3864,31.5261,37.1715,570.653,175.4154
65,60.013,0,26691.7,0,26639.7,0.0093,25192.7,-3.2672,25537.8,-2.202,25130.5,-3.259,24256.5,-5.7834,24258,-5.6022,701.549,-4.978,427.412,-0.4927,0.675526,172.079,704.123,-4.61,431.721,-1.5966,259.183,1.4088,15.4871,-103.93,31.5261,-142.921,491.776,175.355,31.7195,37.7693,570.953,175.375
66,60.013,0,26693.2,0,26637.5,-0.002,25197.3,-3.2694,25543.2,-2.2055,25135.2,-3.261,24256.3,-5.7952,24256.7,-5.6036,701.304,-4.9962,426.911,-0.5378,0.477669,163.8585,703.884,-4.6283,431.543,-1.5762,259.537,1.42636,15.3152,-102.5655,31.5261,-143.0115,491.553,175.3605,31.7195,37.6788,571.254,175.3375
67,60.013,0,26687.4,0,26635.4,0.0096,25194.2,-3.2638,25540.7,-2.2009,25132,-3.2552,24256.2,-5.7842,24256.7,-5.5926,701.503,-4.9816,426.749,-0.4929,0.42724,190.3558,703.765,-4.6599,431.454,-1.5884,258.983,1.53059,15.7094,-102.0242,31.5261,-143.0792,491.332,175.3888,31.7195,37.6111,571.033,175.3528
68,60.013,0.01,26689.9,0,26637.9,0.0098,25191.1,-3.2714,25541.7,-2.197,25133.4,-3.2601,24256.1,-5.7862,24256.7,-5.5946,701.825,-5.0163,427.009,-0.4503,0.42724,190.275,703.971,-4.6588,431.696,-1.5465,259.34,1.55754,15.7094,-102.105,31.5261,-143.16,491.634,175.369,31.7195,37.5303,570.812,175.355
69,60.014,0.02,26691.6,0,26639.6,0.0099,25195.9,-3.2737,25542.7,-2.203,25132.7,-3.2545,24259.2,-5.7848,24255.5,-5.5961,701.906,-4.9885,427.271,-0.4177,0.42724,190.1844,704.505,-4.6219,431.609,-1.5816,259.34,1.46694,15.7094,-102.1956,31.1446,-142.8986,491.525,175.3264,31.7195,37.4397,570.896,175.3994
70,60.014,0,26697,0,26645.9,0.0004,25198.7,-3.2671,25546.4,-2.198,25136.5,-3.2578,24262.3,-5.7946,24258.8,-5.606,701.666,-5.018,427.115,-0.4069,0.477669,163.5175,704.154,-4.6154,431.436,-1.5724,259.276,1.45837,15.7094,-102.2975,31.1446,-143.0005,491.306,175.3215,31.7195,37.3378,570.679,175.3805
71,60.014,0,26703.4,0,26652.2,0.0006,25203.6,-3.27106,25551.1,-2.19336,25141.5,-3.26156,24265.6,-5.79466,24262.2,-5.60606,701.752,-4.99176,426.96,-0.38626,0.477669,163.42534,704.366,-4.62586,431.768,-1.59756,259.212,1.45957,15.7094,-102.38966,31.1446,-143.09266,491.502,175.33834,31.9174,37.92744,570.876,175.38234
72,60.014,0.01,26706.1,0,26654.1,0.01045,25204.1,-3.26604,25553.3,-2.19954,25142,-3.25634,24268.9,-5.78344,24266.8,-5.60534,701.959,-4.99044,427.303,-0.40044,0.604209,144.90956,704.135,-4.63424,431.682,-1.62284,259.571,1.48605,15.7094,-102.47044,31.1446,-143.17344,491.701,175.36656,31.5406,38.21036,571.075,175.39556
